100	171700	0.001	
200	1.3534e+06	0.003	
300	4.5451e+06	0.01	
400	1.07468e+07	0.023	
500	2.09585e+07	0.046	
600	3.61802e+07	0.08	
700	5.74119e+07	0.121	
800	8.56536e+07	0.185	
900	1.21905e+08	0.261	
1000	1.67167e+08	0.369	

1000	500500	0.001	
2000	2.001e+06	0.005	
3000	4.5015e+06	0.012	
4000	8.002e+06	0.021	
5000	1.25025e+07	0.034	
6000	1.8003e+07	0.049	
7000	2.45035e+07	0.063	
8000	3.2004e+07	0.085	
9000	4.05045e+07	0.111	
10000	5.0005e+07	0.138	

1000000	1e+06	0.003	
2000000	2e+06	0.006	
3000000	3e+06	0.009	
4000000	4e+06	0.012	
5000000	5e+06	0.014	
6000000	6e+06	0.018	
7000000	7e+06	0.021	
8000000	8e+06	0.025	
9000000	9e+06	0.027	
10000000	1e+07	0.031	

