Keyword, LabeledPairs, LabeledProducts, FoundProducts, FoundPairs, TrainingPairs, TestPairs, photos, soldCount, feedbackPercentage, memberSoldCount, memberSegment, subtitleFlag, brandNew, freeCargo, dailyOffer, windowOptionFlag, price, productCount, TrainingAccuracy, TestAccuracy
besiktas, 41756, 962, 469, 4708, 3768, 940, -0.30075909657292166, 0.7924661147205817, 0.17293616087606775, -0.43741996499327124, 0.078002169542732397, -0.11305352985561533, 0.23214414491830843, 0.44799348959489044, 0.2042099126175857, -0.27797714197916729, -0.11213444466150936, 0.10287752302319475, 78.98089171974522, 78.61702127659575
kol_saati, 8672, 828, 472, 2136, 1723, 413, -0.3644054486012902, 0.60148707993857109, 0.7571114748976584, 0.21905555825231646, -0.11377626370168058, 0.24260908335266951, 0.0, 0.51951390866846869, -0.13297290015001192, -0.3618597981235952, -0.042447190291491667, -0.58746069084405939, 67.96285548461985, 67.07021791767555
iphone_7, 24618, 567, 177, 3978, 3163, 815, 0.52288772503812619, -0.3237861312130807, 0.042498383113073204, -0.97898302283627114, -0.25386416506416898, 0.8022869067554067, 0.0, 0.48518480424897931, 0.0, -0.041807018629535883, 0.14695291168539573, -0.14606859248498164, 83.8444514701233, 84.78527607361963
iphone_7_kilif, 86154, 1250, 561, 9816, 8802, 1014, -0.30921128747921633, 0.43211945362199633, -0.22674383810649257, 0.038995882739055979, 0.47204228406964827, 0.28057860623067449, 0.0, -0.0028289513336590666, 0.0, 0.10998442214037968, -0.35124050823403591, -0.12279907740943695, 78.62985685071574, 78.59960552268245
stres_carki, 492702, 3550, 1484, 52196, 46912, 5284, 0.058885355447431925, 0.13483472607007554, 0.2358017050542395, 0.58081286428936596, 0.26057968756474836, -0.28501151970800898, 0.016757296751310363, 0.27023290445257386, -0.0097635130727389881, -0.12744433572600075, -0.059288475223160789, 0.080033321133784238, 62.32094133697135, 61.847085541256625
nike_air_max, 142834, 1854, 526, 5346, 4251, 1095, -0.28395236667446627, 0.39690993208505548, -0.53594610864706216, 0.54873205526859659, 0.20042776651126756, -0.29887944513937897, -0.19479551404523321, 0.099693708493193672, -0.091614808371640877, 0.024617274142147618, -0.2672754096112463, 0.056953035275854567, 65.70218772053634, 63.83561643835616
tupperware, 166666, 4753, 3011, 32508, 29348, 3160, 0.29425887127910411, 0.18842504810226948, -0.0091622866932358146, 0.090577110505457789, 0.349056878380333, -0.2762486176622046, 0.18956614506109912, -0.35223954891338244, 0.0, -0.066092581737271908, -0.24371270855027644, -0.75974626659248723, 62.72659124982963, 64.30379746835443
buzdolabi, 67170, 1154, 687, 27050, 24359, 2691, -0.22553704964516072, 1.2043581546187838, -0.7996868790955558, 0.17020525797002956, -0.028853246540301056, 0.060793674684702814, -0.030759055710854764, -0.0064407975785672573, -0.29955027510787186, -0.17708626588200904, -0.10279264679368423, 0.16388129093419562, 84.40822693870848, 84.46674098848013
vestel_camasir_makinesi, 5792, 53, 33, 1918, 1530, 388, -0.96149118083783602, 0.48294631610635869, -0.50575392509753248, -0.5846594401313906, -0.03234114469321725, 0.1211550748194424, 0.0, 0.0, 0.5463735414119163, 0.65331306078948814, -0.78093520730063659, 0.36692541360526176, 95.55555555555556, 97.42268041237114
samsung_galaxy_j7_prime, 49338, 234, 90, 5938, 4764, 1174, -0.57630508378189649, -0.33734710683425478, -0.07984401987943518, -0.65829600095057283, -0.20715516367664435, 0.32238109192854519, 0.0, 0.14436266727688629, 1.4970547649470285, -0.009151522476981035, -0.25935257480254092, -1.0266781176252449, 89.31570109151973, 89.9488926746167
samsung, 26934, 468, 197, 11156, 10075, 1081, -0.39103766339546769, 0.0039392265221844108, -0.72260663682833881, 0.69371539174313979, -0.074682704182362059, -0.054173682828565141, -0.11570138594308939, -1.1179404985886097, 0.51570991206764483, -0.41381444009987622, -0.44340973263661426, -0.24006891455027105, 85.68734491315136, 84.45883441258094
dikey_elektrikli_supurge, 14684, 193, 77, 766, 614, 152, -0.86001553557738464, 0.062079398964662906, 0.28950163012731195, 0.53179489360622667, 0.48865029052086745, 0.16879947135420359, 0.40565513446330592, 0.062321666282058735, -0.027667502756878279, -1.1396059654637867, -0.11163170399831363, 0.34357329673986697, 95.60260586319218, 96.71052631578948
jbl_hoparlor, 1712, 230, 108, 206, 169, 37, -0.60524499503683082, -0.56595598144945791, 1.0911436278861488, -0.82717085978244331, -0.78946776987167433, 0.38718763603616818, 0.0, 0.15321871218899752, 0.0, -0.56846643387899387, -1.0393564034500729, -0.60591239223763638, 94.67455621301775, 91.89189189189189
bisiklet, 92000, 2116, 1265, 42798, 38540, 4258, 0.065675604585728978, 0.29836103839879047, -0.60023512860058692, 0.057093088886782939, -0.043599856700707013, 0.094531070968013484, 0.025300066274851755, -0.10139718178528528, -0.081256250762993185, -0.63291954245608228, -0.53943082270246501, 0.37695777017089327, 75.48261546445252, 75.97463597933302
lenovo_k6_note, 8982, 146, 86, 562, 453, 109, 1.0376801922820424, -0.24404353353383179, 0.80488713408092849, -0.23821256077319175, 0.10090118451975305, -0.7203844655200945, 0.65118472303569164, -1.1262186110336074, -0.31715877559471539, -0.43527679176816403, -0.354441477940109, 0.48141961513252801, 71.08167770419426, 62.38532110091743
sandalye_kilifi, 98412, 505, 122, 8450, 7610, 840, 0.083863420440092623, 0.33395262438338891, -0.46231379552284146, 0.37175697440119293, 0.097577525907216953, -0.16351227622054912, 0.0, -0.54931350340540952, 0.0, 0.27204744959952731, -0.2867214821383855, 0.776493959743495, 83.53482260183968, 84.52380952380952
xiaomi, 56784, 235, 119, 13826, 12433, 1393, 0.36796198173517702, -0.27844557650713664, -0.096673956456880331, 0.91662167595561872, 0.1243858994690188, 0.49754744525397721, 0.0, -0.65600851167973284, -0.019697999348086113, -0.51792363804341091, -0.40499893355288774, -0.3201387770371581, 78.04230676425641, 77.17157214644652
